ncategories,4,,,,,,,,,,
ncriteria,10,,,,,,,,,,
,,,,,,,,,,,
pt,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,assign
a554,1,3,3,1,2,1,2,2,2,3,3
a555,2,3,3,2,3,1,3,2,2,3,4
a556,3,3,4,3,4,2,3,3,3,3,4
a557,1,2,1,3,1,1,1,1,3,2,2
a558,3,2,3,3,1,2,3,1,2,2,3
a559,3,3,2,3,4,1,2,2,3,3,4
a560,3,2,4,1,2,1,3,2,2,2,3
a561,2,3,2,2,2,1,3,2,2,1,3
a562,2,1,2,3,2,2,2,3,3,2,4
a563,1,1,2,3,3,2,2,3,1,3,3
a564,2,2,3,1,1,2,2,2,1,3,3
a565,3,3,3,1,4,2,2,2,2,3,3
a566,1,1,2,2,1,2,1,2,2,2,3
a567,3,3,4,3,3,2,2,2,3,3,4
a568,2,1,1,3,1,1,3,3,3,1,2
a569,2,2,2,2,2,1,2,3,1,3,2
a570,1,1,2,2,1,2,1,2,2,2,2
a571,3,3,3,2,4,2,2,2,3,1,3
a572,1,3,3,2,2,1,2,3,2,1,3
a573,2,1,1,1,1,1,1,2,2,2,2
a574,1,1,2,2,1,2,1,2,2,2,2
a575,2,3,3,1,1,2,3,2,1,1,3
a576,2,3,3,2,3,1,3,2,2,3,3
a577,2,1,3,3,2,2,3,2,2,3,2
a578,1,3,1,3,2,2,1,2,1,3,2
a579,3,2,2,2,4,1,3,1,2,3,3
a580,1,3,3,1,2,1,2,2,2,3,3
a581,1,1,1,1,1,1,2,1,1,1,1
a582,2,3,3,2,2,2,3,2,3,3,3
a583,3,3,3,2,1,1,2,2,3,2,3
a584,2,2,4,3,2,2,2,1,3,1,3
a585,3,2,3,3,3,2,3,3,1,3,4
a586,3,2,1,3,3,1,1,3,3,2,3
a587,1,2,3,3,2,1,3,1,3,3,3
a588,1,2,1,1,4,1,1,1,2,1,2
a589,2,3,2,1,2,1,2,1,2,3,4
a590,2,3,4,3,2,2,2,3,3,2,3
a591,3,2,2,3,2,1,1,2,3,3,3
a592,2,3,3,2,2,2,1,3,2,3,4
a593,1,3,1,2,3,1,2,2,2,2,3
a594,2,1,3,3,2,2,3,2,2,3,4
a595,1,2,2,3,1,1,1,2,2,2,3
a596,2,3,3,2,4,1,3,2,3,1,3
a597,1,2,1,1,4,1,1,1,2,1,3
a598,2,1,3,2,3,1,2,1,3,2,3
a599,3,3,2,3,4,1,2,2,3,3,3
a600,3,3,2,3,4,2,2,3,2,3,4
a601,1,1,1,3,1,2,1,1,2,3,2
a602,1,3,3,2,4,1,1,3,3,3,4
a603,1,3,2,1,2,2,1,1,2,1,2
a604,3,1,1,3,3,2,2,2,3,3,4
a605,1,1,1,2,1,1,3,3,1,1,2
a606,1,3,3,2,2,2,2,1,3,1,3
a607,2,1,1,2,1,1,2,2,1,1,2
a608,1,1,1,3,1,2,1,1,2,3,1
a609,2,2,3,2,2,2,2,2,2,3,4
a610,3,2,3,1,1,1,1,2,3,1,3
a611,2,1,1,3,3,1,2,2,2,2,2
a612,3,1,1,3,2,2,3,3,1,2,2
a613,1,3,4,1,3,2,3,1,1,3,3
a614,1,1,1,1,1,1,2,1,1,1,1
a615,2,3,3,2,2,2,1,3,2,3,4
a616,2,2,2,1,1,1,1,3,2,3,2
a617,1,3,4,1,3,2,3,1,1,3,3
a618,1,2,2,3,1,1,1,2,2,2,4
a619,2,3,3,1,1,2,3,2,1,1,3
a620,3,3,3,1,4,2,2,2,2,3,3
a621,1,3,4,1,4,2,1,3,1,1,3
a622,2,3,2,2,2,1,3,3,1,2,2
a623,2,1,1,3,2,1,2,1,1,3,1
a624,3,2,1,2,3,2,1,3,1,1,2
a625,1,3,3,2,4,1,1,3,3,3,3
a626,2,3,2,1,2,1,2,1,2,3,4
a627,2,1,3,3,2,2,3,2,2,3,2
a628,2,2,1,1,3,1,1,3,1,1,2
a629,3,3,4,3,4,1,3,2,3,3,4
a630,1,2,1,2,1,1,1,3,1,1,1
a631,1,3,4,1,4,2,1,3,1,1,2
a632,1,2,2,2,2,1,3,1,2,1,2
a633,1,2,4,3,1,1,3,2,2,3,4
a634,2,2,3,2,2,2,2,2,2,3,3
a635,3,3,2,1,2,2,3,3,3,3,4
a636,2,1,1,1,2,1,1,1,1,3,2
a637,1,3,1,3,1,1,1,3,2,2,2
a638,3,3,3,1,4,2,2,2,2,3,3
a639,2,2,1,1,3,1,1,3,1,1,2
a640,2,3,2,1,2,2,2,2,2,3,2
a641,2,2,1,1,1,2,2,3,1,1,1
a642,2,1,2,1,4,1,2,1,2,3,2
a643,1,1,2,3,3,2,2,3,1,3,3
a644,2,2,3,2,4,2,2,2,2,1,3
a645,2,3,2,2,2,1,3,3,1,2,3
a646,1,2,1,2,1,1,1,3,1,1,2
a647,3,3,3,2,1,1,2,2,3,2,3
a648,2,1,2,1,4,1,2,1,2,3,3
a649,3,2,3,3,3,2,3,3,1,3,4
a650,1,3,2,1,2,2,1,1,2,1,3
a651,2,2,1,1,3,1,1,1,1,1,2
a652,1,2,1,2,1,1,1,3,1,1,1
a653,3,2,3,1,1,1,1,2,3,1,3
a654,2,3,3,2,2,2,1,3,2,3,3
a655,2,2,2,1,1,1,1,3,2,3,2
a656,2,3,2,3,3,2,1,1,2,1,2
a657,3,1,2,1,3,2,2,3,2,2,2
a658,1,3,1,2,3,1,2,2,2,2,2
a659,3,3,3,2,4,2,2,2,3,1,4
a660,2,3,2,3,3,2,1,1,2,1,1
a661,2,3,2,1,2,2,2,2,2,3,2
a662,3,2,1,1,2,1,2,2,1,3,2
a663,2,3,4,1,3,2,2,1,2,2,3
a664,2,2,2,1,1,1,1,3,2,3,3
a665,1,2,2,3,3,2,2,1,1,2,2
a666,3,2,1,3,3,1,1,3,3,2,2
a667,2,2,1,1,1,2,2,3,1,1,2
a668,1,3,3,1,4,2,1,1,2,3,1
a669,1,1,1,3,1,2,1,1,2,3,2
a670,2,2,2,1,3,2,2,2,3,3,3
a671,2,3,3,2,4,1,3,2,3,1,4
a672,3,2,3,1,1,1,1,2,3,1,3
a673,2,2,2,3,2,2,2,3,1,2,3
a674,3,2,1,1,2,1,2,2,1,3,2
a675,3,3,4,3,4,2,3,3,3,3,4
a676,2,2,2,1,3,2,2,2,3,3,4
a677,1,1,2,2,1,2,1,2,2,2,2
a678,3,3,4,1,4,2,3,3,3,2,4
a679,2,2,2,2,2,1,2,2,2,1,2
a680,2,2,1,1,1,2,2,3,1,1,2
a681,2,1,1,3,2,1,2,1,1,3,1
a682,3,1,2,1,3,2,2,3,2,2,4
a683,1,3,3,2,4,1,1,3,3,3,4
a684,2,1,1,3,1,1,3,3,3,1,2
a685,2,2,1,1,3,1,1,1,1,1,2
a686,3,3,2,2,2,1,2,2,2,1,2
a687,3,1,1,2,3,2,2,1,3,1,2
a688,2,2,3,1,1,2,2,2,1,3,3
a689,3,2,2,1,2,2,2,2,1,3,3
a690,2,2,3,2,4,2,2,2,2,1,4
a691,1,2,1,2,2,2,2,1,1,2,2
a692,1,2,3,3,2,1,3,1,3,3,4
a693,2,3,3,1,1,2,3,2,1,1,2
a694,3,2,1,3,3,1,1,3,3,2,2
a695,1,3,1,2,3,1,2,2,2,2,3
a696,3,1,1,2,3,2,2,1,3,1,3
a697,1,3,1,3,2,1,1,1,3,2,2
a698,1,3,3,2,2,2,2,1,3,1,3
a699,1,3,2,1,2,2,1,1,2,1,3
a700,1,3,3,1,4,2,1,1,2,3,4
a701,3,2,1,2,3,2,1,3,1,1,2
a702,2,2,4,3,2,2,2,1,3,1,3
a703,1,1,1,3,1,2,1,1,2,3,2
a704,2,3,4,1,3,2,2,1,2,2,3
a705,1,2,3,3,2,1,3,1,3,3,3
a706,1,3,3,2,2,1,2,3,2,1,2
a707,2,2,1,2,3,1,1,2,3,2,2
a708,3,3,2,3,4,1,2,2,3,3,3
a709,2,1,1,2,1,1,2,2,1,1,2
a710,2,2,1,2,3,1,2,2,2,1,3
a711,2,2,2,2,2,1,2,2,2,1,2
a712,2,2,1,1,3,1,1,1,1,1,2
a713,3,1,1,3,3,2,2,2,3,3,2
a714,2,3,1,3,4,1,2,1,2,3,4
a715,3,3,1,1,4,1,2,3,3,3,4
a716,1,3,1,3,1,1,1,3,2,2,2
a717,3,3,3,1,4,2,2,2,2,3,2
a718,1,3,3,2,2,2,2,1,3,1,3
a719,1,2,3,3,2,1,3,1,3,3,4
a720,2,3,3,2,2,2,3,2,3,3,3
a721,2,1,1,2,2,1,2,1,1,3,2
a722,3,3,1,1,4,1,2,3,3,3,4
a723,3,2,2,3,2,1,1,2,3,3,2
a724,1,1,1,2,1,1,3,3,1,1,2
a725,2,1,2,3,2,2,2,3,3,2,3
a726,2,3,2,3,3,2,1,1,2,1,2
a727,3,1,1,2,3,2,2,1,3,1,2
a728,1,3,4,1,4,2,1,3,1,1,3
a729,2,2,3,2,4,2,2,2,2,1,3
a730,2,3,2,2,2,1,3,2,2,1,3
a731,2,3,2,1,2,1,2,1,2,3,3
a732,3,3,4,3,3,2,2,2,3,3,4
a733,2,2,1,1,3,1,1,3,1,1,2
a734,2,3,2,1,2,2,2,2,2,3,3
a735,2,1,1,3,2,1,2,1,1,3,1
a736,2,2,1,2,3,1,2,2,2,1,2
a737,1,3,2,2,1,1,1,2,3,2,3
a738,3,1,1,2,3,2,2,1,3,1,3
a739,2,1,1,2,1,1,2,2,1,1,2
a740,1,2,4,1,3,1,1,3,2,2,3
a741,2,2,2,2,2,1,2,3,1,3,3
a742,2,3,2,2,2,1,3,3,1,2,3
a743,1,2,1,2,1,1,1,3,1,1,2
a744,1,2,2,1,1,2,1,2,1,2,2
a745,3,3,3,2,1,1,3,3,1,1,3
a746,1,2,2,3,1,1,1,2,2,2,3
a747,3,3,3,2,4,2,2,2,3,1,2
a748,1,1,2,1,1,1,2,2,1,2,2
a749,1,1,2,2,1,2,1,2,2,2,2
a750,3,2,2,1,1,2,3,1,1,3,2
a751,2,2,1,3,3,1,3,2,1,2,2
a752,2,2,1,1,1,2,2,3,1,1,2
a753,2,1,1,3,2,1,2,1,1,3,3
a754,1,3,1,3,1,1,1,3,2,2,3
a755,2,2,2,1,3,2,2,2,3,3,4
a756,3,2,1,3,3,1,1,3,3,2,2
a757,2,3,1,3,4,1,2,1,2,3,2
a758,3,2,2,1,1,2,3,1,1,3,3
a759,2,2,1,2,3,1,2,2,2,1,2
a760,1,3,4,1,4,2,1,3,1,1,3
a761,1,3,1,1,1,1,1,2,3,3,2
a762,1,3,1,1,1,1,1,2,3,3,2
a763,3,3,4,1,4,2,3,3,3,2,4
a764,1,1,1,1,1,1,2,1,1,1,1
a765,1,2,2,3,3,2,2,1,1,2,2
a766,3,1,2,1,3,2,2,3,2,2,2
a767,1,3,2,2,1,1,1,2,3,2,2
a768,1,2,1,1,1,1,1,1,1,1,2
a769,3,2,1,1,2,1,2,2,1,3,4
a770,2,3,4,2,4,2,2,2,1,2,2
a771,2,1,3,3,4,2,2,2,3,2,4
a772,2,3,4,1,3,2,2,1,2,2,3
a773,1,3,3,2,2,2,2,1,3,1,3
a774,2,3,3,2,4,1,3,2,3,1,4
a775,2,2,1,1,1,2,2,3,1,1,3
a776,2,3,3,2,4,1,3,2,3,1,3
a777,3,3,3,2,1,1,3,3,1,1,2
a778,2,2,1,2,3,1,1,2,3,2,3
a779,1,3,3,1,2,1,2,2,2,3,2
a780,1,1,2,2,1,2,1,2,2,2,2
a781,1,2,3,3,2,1,3,1,3,3,3
a782,2,1,3,3,2,2,3,2,2,3,4
a783,2,2,4,3,3,2,3,2,3,3,4
a784,1,1,1,1,1,1,2,1,1,1,2
a785,1,2,1,2,1,1,1,3,1,1,2
a786,2,1,1,1,2,1,1,1,1,3,2
a787,3,3,4,3,4,2,3,3,3,3,4
a788,3,3,2,3,4,1,2,2,3,3,4
a789,2,2,1,1,1,2,2,3,1,1,2
a790,2,3,3,1,1,2,1,3,2,2,3
a791,2,1,2,2,3,1,2,2,3,1,2
a792,1,1,1,2,1,1,3,3,1,1,2
a793,3,2,1,3,3,1,1,3,3,2,3
a794,1,3,3,1,2,1,2,2,2,3,3
a795,3,3,2,3,4,1,2,2,3,3,4
a796,3,1,1,1,3,1,2,1,2,3,2
a797,3,3,2,1,2,2,3,3,3,3,4
a798,3,3,2,3,4,1,2,2,3,3,3
a799,2,3,3,2,4,1,3,2,3,1,3
a800,2,1,3,3,2,2,3,2,2,3,3
a801,1,2,2,1,1,2,1,2,1,2,2
a802,1,2,2,3,3,2,2,1,1,2,3
a803,2,1,2,2,3,1,2,2,3,1,2
a804,1,2,2,3,1,1,1,2,2,2,3
a805,1,3,3,1,4,2,1,1,2,3,3
a806,2,1,2,2,3,1,2,2,3,1,2
a807,2,2,3,1,1,2,2,2,1,3,4
a808,1,3,4,1,3,2,3,1,1,3,3
a809,1,3,4,3,3,2,2,3,1,3,3
a810,3,3,4,1,4,2,3,3,3,2,4
a811,1,2,2,1,1,2,1,2,1,2,2
a812,2,1,1,1,2,1,1,1,2,1,3
a813,2,3,4,2,4,2,2,2,1,2,3
a814,2,1,1,1,2,1,1,1,1,3,1
a815,1,3,2,1,2,2,1,1,2,1,1
a816,2,2,1,1,1,2,2,3,1,1,2
a817,1,2,2,1,1,2,1,2,1,2,2
a818,1,2,4,1,3,1,1,3,2,2,3
a819,2,1,3,2,3,1,2,1,3,2,2
a820,2,1,3,2,3,1,2,1,3,2,2
a821,3,2,2,3,1,1,3,1,3,3,4
a822,3,2,2,3,1,1,3,1,3,3,4
a823,2,1,1,1,1,1,1,2,2,2,2
a824,2,1,1,1,1,1,1,2,2,2,2
a825,1,2,2,1,1,2,1,2,1,2,2
a826,2,3,2,2,2,1,3,2,2,1,4
a827,3,2,2,2,4,1,3,1,2,3,3
a828,2,3,3,2,3,1,3,2,2,3,4
a829,2,1,1,2,2,1,2,1,1,3,3
a830,1,2,2,3,3,2,2,1,1,2,3
a831,3,3,2,1,2,2,3,3,3,3,4
a832,2,2,4,3,3,2,3,2,3,3,4
a833,1,3,4,1,4,2,1,3,1,1,4
a834,2,2,1,3,2,2,1,3,1,1,3
a835,3,3,4,3,4,2,3,3,3,3,4
a836,1,3,2,1,2,2,1,1,2,1,3
a837,3,3,2,1,2,2,3,3,3,3,3
a838,2,3,3,2,4,1,3,2,3,1,4
a839,2,1,1,1,2,1,1,1,1,3,1
a840,2,1,3,3,4,2,2,2,3,2,4
a841,1,2,1,2,1,1,1,3,1,1,2
a842,3,3,2,2,2,1,2,2,2,1,3
a843,2,3,4,2,2,1,3,2,3,2,3
a844,1,1,1,2,1,1,3,3,1,1,2
a845,2,1,1,3,2,1,2,1,1,3,1
a846,2,3,3,2,4,1,3,2,3,1,3
a847,3,2,1,3,3,1,1,3,3,2,3
a848,2,2,2,3,2,2,2,3,1,2,2
a849,3,3,3,3,3,1,1,2,3,3,4
a850,1,2,2,3,1,1,1,2,2,2,3
a851,2,3,4,3,2,2,2,3,3,2,3
a852,2,1,3,2,3,1,2,1,3,2,3
a853,1,3,1,3,2,2,1,2,1,3,2
a854,2,1,3,3,4,2,2,2,3,2,4
a855,3,1,1,1,3,1,2,1,2,3,1
a856,1,2,1,2,1,1,1,3,1,1,2
a857,2,3,4,3,2,2,2,3,3,2,2
a858,1,1,2,3,3,2,2,3,1,3,4
a859,2,1,1,1,2,1,1,1,1,3,1
a860,1,3,3,1,4,2,1,1,2,3,3
a861,3,1,1,2,3,2,2,1,3,1,2
a862,1,1,2,2,1,2,1,2,2,2,2
a863,3,3,2,2,2,1,2,2,2,1,2
a864,3,3,2,1,2,2,3,3,3,3,4
a865,3,3,3,2,1,1,2,2,3,2,2
a866,3,1,1,2,3,2,2,1,3,1,3
a867,3,3,3,3,3,1,1,2,3,3,4
a868,3,1,1,3,3,2,2,2,3,3,2
a869,2,3,4,3,2,2,2,3,3,2,3
a870,3,2,1,1,2,1,2,2,1,3,3
a871,1,3,3,2,2,1,2,3,2,1,3
a872,1,2,2,3,1,1,1,2,2,2,2
a873,2,3,4,2,2,1,3,2,3,2,4
a874,2,2,1,3,3,1,3,2,1,2,3
a875,2,2,1,1,1,1,2,2,1,3,3
a876,3,2,2,3,1,1,3,1,3,3,3
a877,2,2,1,2,3,1,1,2,3,2,3
a878,2,3,4,3,2,2,2,3,3,2,2
a879,3,1,1,3,3,2,2,2,3,3,3
a880,3,3,2,3,4,1,2,2,3,3,4
a881,3,3,2,2,2,1,2,2,2,1,3
a882,1,2,4,1,3,1,1,3,2,2,3
a883,3,1,1,1,3,1,2,1,2,3,3
a884,3,3,2,3,4,1,2,2,3,3,4
a885,2,3,3,2,2,2,1,3,2,3,4
a886,2,3,2,2,2,1,3,3,1,2,2
a887,2,3,3,2,2,2,1,3,2,3,4
a888,2,1,2,3,2,2,2,3,3,2,3
a889,1,2,2,2,2,1,3,1,2,1,2
a890,1,2,2,3,3,2,2,1,1,2,3
a891,2,2,2,2,2,1,2,3,1,3,2
a892,1,3,3,2,2,1,2,3,2,1,3
a893,2,1,1,1,2,1,1,1,2,1,2
a894,2,2,4,3,3,2,3,2,3,3,4
a895,2,1,2,1,4,1,2,1,2,3,2
a896,2,3,2,2,2,1,3,2,2,1,4
a897,1,2,4,1,3,1,1,3,2,2,4
a898,3,3,4,1,4,2,3,3,3,2,3
a899,1,2,1,2,1,1,1,3,1,1,1
a900,3,1,2,1,3,2,2,3,2,2,3
a901,3,3,4,3,3,2,2,2,3,3,4
a902,2,3,4,2,2,1,3,2,3,2,3
a903,2,2,2,2,2,1,2,3,1,3,4
a904,2,2,2,2,2,1,2,3,1,3,3
a905,2,3,3,1,1,2,1,3,2,2,3
a906,2,1,1,2,1,1,2,2,1,1,2
a907,2,1,3,3,2,2,3,2,2,3,3
a908,2,2,1,3,3,1,3,2,1,2,3
a909,1,2,1,3,1,1,1,1,3,2,3
a910,3,2,3,1,1,1,1,2,3,1,3
a911,3,2,2,1,2,2,2,2,1,3,4
a912,2,1,2,1,4,1,2,1,2,3,3
a913,3,2,3,3,3,2,3,3,1,3,4
a914,2,2,2,1,1,1,1,3,2,3,2
a915,3,3,3,2,1,1,2,2,3,2,3
a916,1,2,3,3,2,1,3,1,3,3,4
a917,2,3,2,3,3,2,1,1,2,1,4
a918,2,1,3,3,2,2,3,2,2,3,4
a919,2,3,2,2,2,1,3,2,2,1,2
a920,3,1,1,3,3,2,2,2,3,3,3
a921,2,2,1,1,3,1,1,3,1,1,2
a922,1,3,3,1,4,2,1,1,2,3,2
a923,2,1,1,3,1,1,3,3,3,1,2
a924,1,2,4,1,3,1,1,3,2,2,3
a925,3,3,1,1,4,1,2,3,3,3,2
a926,1,2,2,2,2,1,3,1,2,1,2
a927,1,1,2,3,3,2,2,3,1,3,4
a928,1,1,2,1,1,1,2,2,1,2,3
a929,3,2,3,2,2,1,2,3,3,3,3
a930,2,2,4,2,2,2,2,2,3,3,4
a931,2,3,3,1,1,2,1,3,2,2,3
a932,2,3,3,2,2,2,3,2,3,3,3
a933,3,2,2,3,2,1,1,2,3,3,4
a934,3,3,3,2,1,1,2,2,3,2,3
a935,3,3,4,3,3,2,2,2,3,3,4
a936,2,1,1,1,1,1,1,2,2,2,3
a937,2,3,3,2,4,1,3,2,3,1,3
a938,1,2,1,3,1,1,1,1,3,2,2
a939,1,1,2,1,1,1,2,2,1,2,2
a940,2,2,1,2,3,1,2,2,2,1,2
a941,2,1,1,1,2,1,1,1,2,1,2
a942,3,2,2,3,2,1,1,2,3,3,2
a943,3,3,3,3,3,1,1,2,3,3,3
a944,1,1,2,1,1,1,2,2,1,2,3
a945,3,3,3,2,4,2,2,2,3,1,3
a946,2,2,3,1,1,2,2,2,1,3,2
a947,2,3,3,2,2,2,3,2,3,3,3
a948,3,3,2,3,4,2,2,3,2,3,4
a949,3,1,1,1,3,1,2,1,2,3,2
a950,2,2,1,1,3,1,1,3,1,1,2
a951,3,3,2,1,2,2,3,3,3,3,4
a952,3,3,2,3,4,2,2,3,2,3,4
a953,3,3,3,3,3,1,1,2,3,3,4
a954,3,2,3,2,2,1,2,3,3,3,2
a955,2,2,1,1,1,2,2,3,1,1,3
a956,3,3,4,3,4,2,3,3,3,3,4
a957,2,1,1,3,1,1,3,3,3,1,2
a958,1,3,3,1,4,2,1,1,2,3,3
a959,2,2,3,2,2,2,2,2,2,3,4
a960,1,1,1,2,1,1,3,3,1,1,2
a961,1,2,1,1,4,1,1,1,2,1,2
a962,1,3,1,1,1,1,1,2,3,3,2
a963,2,3,3,1,1,2,1,3,2,2,3
a964,2,2,1,1,1,2,2,3,1,1,2
a965,2,3,2,1,2,2,2,2,2,3,4
a966,3,2,2,3,2,1,1,2,3,3,3
a967,2,2,2,1,1,1,1,3,2,3,3
a968,3,2,4,1,2,1,3,2,2,2,2
a969,1,1,2,2,1,2,1,2,2,2,2
a970,2,2,2,2,2,1,2,2,2,1,2
a971,1,2,1,3,1,1,1,1,3,2,2
a972,2,1,2,1,4,1,2,1,2,3,2
a973,2,1,2,3,2,2,2,3,3,2,2
a974,1,3,4,1,4,2,1,3,1,1,3
a975,1,2,1,1,4,1,1,1,2,1,3
a976,2,2,4,2,2,2,2,2,3,3,4
a977,2,3,4,2,4,2,2,2,1,2,4
a978,2,3,2,2,2,1,3,3,1,2,3
a979,3,1,2,1,3,2,2,3,2,2,3
a980,1,3,1,3,2,1,1,1,3,2,2
a981,1,1,2,3,3,2,2,3,1,3,4
a982,1,3,1,3,2,1,1,1,3,2,2
a983,2,2,4,2,2,2,2,2,3,3,4
a984,1,3,4,1,3,2,3,1,1,3,4
a985,2,3,3,2,2,2,3,2,3,3,4
a986,2,1,2,2,3,1,2,2,3,1,2
a987,2,1,2,2,3,1,2,2,3,1,2
a988,1,3,4,1,4,2,1,3,1,1,3
a989,2,2,2,1,4,2,1,3,1,2,3
a990,1,2,3,3,2,1,3,1,3,3,4
a991,2,2,4,2,2,2,2,2,3,3,4
a992,3,3,3,2,1,1,3,3,1,1,3
a993,2,1,3,2,3,1,2,1,3,2,3
a994,1,3,3,2,2,2,2,1,3,1,3
a995,2,3,2,3,3,2,1,1,2,1,2
a996,3,2,1,3,3,1,1,3,3,2,2
a997,2,3,2,2,2,1,3,3,1,2,3
a998,1,2,1,3,1,1,1,1,3,2,3
a999,2,3,3,2,3,1,3,2,2,3,4
a1000,2,3,3,2,2,2,3,2,3,3,4
